YYYY-MM-DD       JulianDate          Filter  Target
2018-04-17       2458226.13865       R       OJ287       
2018-04-17       2458226.14088       R       OJ287       
2018-04-17       2458226.14331       R       OJ49        
2018-04-17       2458226.22330       R       ON231       
2018-04-17       2458226.22556       R       ON231       
2018-04-17       2458226.18992       R       S4_0954+65  
2018-04-17       2458226.19218       R       S4_0954+65  
2018-04-17       2458226.12862       R       S5_0716+71  
2018-04-18       2458227.09721       R       3C273       
2018-04-18       2458227.09946       R       3C273       
2018-04-18       2458227.11397       R       3C279       
2018-04-18       2458227.11623       R       3C279       
2018-04-18       2458227.14490       R       3C345       
2018-04-18       2458227.14713       R       3C345       
2018-04-18       2458227.15509       R       3C371       
2018-04-18       2458227.10328       R       4C29-45     
2018-04-18       2458227.10553       R       4C29-45     
2018-04-18       2458227.12903       R       4C38-41     
2018-04-18       2458227.13127       R       4C38-41     
2018-04-18       2458227.14997       R       4C51-37     
2018-04-18       2458227.15223       R       4C51-37     
2018-04-18       2458227.08134       R       4C71-07     
2018-04-18       2458227.08360       R       4C71-07     
2018-04-18       2458227.12446       R       DA406       
2018-04-18       2458227.12671       R       DA406       
2018-04-18       2458227.09118       R       Mkn421      
2018-04-18       2458227.09344       R       Mkn421      
2018-04-18       2458227.13361       R       Mkn501      
2018-04-18       2458227.14256       R       Mkn501      
2018-04-18       2458227.06616       R       OJ248       
2018-04-18       2458227.06841       R       OJ248       
2018-04-18       2458227.07075       R       OJ287       
2018-04-18       2458227.07301       R       OJ287       
2018-04-18       2458227.07584       R       OJ49        
2018-04-18       2458227.07810       R       OJ49        
2018-04-18       2458227.10788       R       ON231       
2018-04-18       2458227.11013       R       ON231       
2018-04-18       2458227.06106       R       PKS0735+17  
2018-04-18       2458227.06332       R       PKS0735+17  
2018-04-18       2458227.11918       R       PKS1510-08  
2018-04-18       2458227.12144       R       PKS1510-08  
2018-04-18       2458227.08602       R       S4_0954+65  
2018-04-18       2458227.08826       R       S4_0954+65  
